"result_time";"node_id";"parent_id";"rctp_psetsize";"rctp_parent";"rctp_retxs";"options";"thl";"etx";"origin_seqnum";"packet_type";"stats_petx";"stats_letx";"stats_raw_frssi";"stats_raw_brssi";"health_generated";"health_forwarded";"health_retransmissions";"health_dropped";"routingtableactive";"neighbor_id_0";"neighbor_petx_0";"neighbor_parent_0";"neighbor_id_1";"neighbor_petx_1";"neighbor_parent_1";"neighbor_id_2";"neighbor_petx_2";"neighbor_parent_2";"neighbor_id_3";"neighbor_petx_3";"neighbor_parent_3";"neighbor_id_4";"neighbor_petx_4";"neighbor_parent_4";"pkt_length";"parentparent"
"2016-08-18 16:04:07.776";21141;11501;1;11501;2;0;5;10;70;221;57;17;0;216;2887;1;2235;45;14;48895;30;22631;20941;10;11501;21151;65535;20541;22931;11;20541;0;0;0;55;40031
"2016-08-18 16:15:53.092";20841;22731;3;22731;0;0;5;10;95;221;50;10;215;223;3168;108;560;0;14;11501;16;40031;23241;10;31131;62031;10;11501;23131;10;11501;0;0;0;55;40031
"2016-08-18 16:38:19.668";23131;23341;5;22631;0;0;5;10;31;221;50;10;233;235;5920;21297;3525;2;20;22731;10;40031;23341;10;10501;11501;10;40031;21731;11;40031;0;0;0;55;40031
"2016-08-18 16:51:32.677";20841;11501;3;22731;4;0;5;10;101;221;55;15;0;221;3174;108;564;0;14;11501;15;40031;23241;10;31131;62031;10;11501;23131;10;11501;0;0;0;55;40031
"2016-08-18 16:56:05.51";21341;22631;5;22731;1;0;5;10;148;221;50;10;215;221;2965;196;346;0;14;23341;11;10501;22631;10;40031;20141;10;40031;21731;12;40031;0;0;0;55;40031
"2016-08-18 17:08:09.129";23031;22731;4;22731;0;0;5;10;42;221;50;10;225;225;4907;9536;1562;4;20;23341;10;10501;11501;10;40031;10101;10;40031;23131;10;40031;0;0;0;55;40031
"2016-08-18 17:24:02.193";22731;11301;2;40031;1;0;4;10;205;221;40;10;2;225;5326;8270;1641;1;20;11301;10;11101;22631;10;40031;20541;10;11301;20141;10;11301;0;0;0;55;11101
"2016-08-18 17:26:53.865";20841;11501;2;22731;0;0;5;10;107;221;53;13;0;219;3180;108;566;0;14;11501;13;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 17:27:18.073";21141;11501;1;11501;0;0;5;10;82;221;53;13;0;216;2899;1;2246;45;14;48895;30;22631;20941;10;11501;21151;65535;20541;22931;11;20541;0;0;0;55;40031
"2016-08-18 17:27:52.645";22831;23341;5;20141;1;0;5;10;244;221;50;10;230;232;1269;828;199;0;20;22731;10;40031;20541;10;11301;11501;10;40031;23341;10;40031;0;0;0;55;40031
