2016-08-18 15:09:22 Round: 1
nodeid	prnt_size
30251	3.0
30551	2.0
31051	1.0
31301	1.0
50031	1.0
50131	5.0
50331	1.0
50431	5.0
60331	5.0
60531	5.0
60731	5.0
60831	5.0
61231	5.0
61731	5.0
61831	5.0
61931	4.0
62131	4.0
62231	3.0
number of leaf nodes: 38	avg_prnt_size: 3.63157894737	stdev: 1.56307814789

2016-08-20 19:33:58 Round: 27
nodeid	prnt_size
10011	1.0
10911	3.0
20151	5.0
20251	4.0
20851	3.0
20941	5.0
21141	1.0
21341	5.0
21731	5.0
21831	5.0
21931	5.0
22031	5.0
22131	5.0
22431	1.0
22531	5.0
22631	2.0
22831	5.0
23131	5.0
23241	4.0
30251	3.0
30351	4.0
30451	2.0
30551	3.0
30751	2.0
31051	1.0
31131	5.0
40231	5.0
40331	5.0
50031	2.0
50131	5.0
50331	1.0
50431	5.0
50531	2.0
60331	5.0
60631	5.0
60831	5.0
61131	5.0
61231	5.0
61531	5.0
61731	5.0
62031	3.0
62231	4.0
number of leaf nodes: 42	avg_prnt_size: 3.83333333333	stdev: 1.47868452907

2016-08-20 21:37:08 Round: 28
nodeid	prnt_size
10011	1.0
20031	3.0
20151	5.0
20251	4.0
20541	1.0
20711	3.0
20841	2.0
20941	5.0
21031	4.0
21141	1.0
21731	5.0
21831	5.0
21931	5.0
22031	5.0
22131	5.0
22331	5.0
22431	5.0
22531	5.0
23031	4.0
23131	5.0
30451	3.0
30751	2.0
31051	4.0
50031	1.0
50431	5.0
50531	2.0
60531	5.0
60731	5.0
60831	5.0
61131	5.0
61231	5.0
61531	5.0
61731	5.0
61831	5.0
62031	2.0
62131	4.0
62231	3.0
number of leaf nodes: 37	avg_prnt_size: 3.89189189189	stdev: 1.42911395312

2016-08-20 23:37:50 Round: 29
nodeid	prnt_size
10011	1.0
10911	2.0
20031	3.0
20151	5.0
20541	1.0
20711	3.0
20841	2.0
20851	3.0
20941	5.0
21031	4.0
21141	1.0
21341	5.0
21731	5.0
21831	5.0
21931	5.0
22031	5.0
22231	1.0
22331	5.0
22431	5.0
22631	2.0
22831	5.0
23131	5.0
30451	2.0
30751	2.0
30851	1.0
31051	1.0
31301	1.0
50031	1.0
50131	5.0
50431	5.0
50531	2.0
60331	5.0
60531	5.0
60731	1.0
61131	5.0
61331	5.0
61531	5.0
61731	5.0
61831	5.0
62231	3.0
number of leaf nodes: 40	avg_prnt_size: 3.425	stdev: 1.70128627808

2016-08-21 01:38:45 Round: 30
nodeid	prnt_size
10011	1.0
10911	2.0
11801	4.0
20031	3.0
20151	5.0
20251	5.0
20641	5.0
20711	2.0
20841	2.0
20941	5.0
21341	5.0
21831	5.0
22031	5.0
22131	5.0
22431	5.0
22531	5.0
22631	2.0
22831	4.0
23031	4.0
23131	5.0
30751	2.0
31051	1.0
31301	2.0
40231	4.0
50031	3.0
50331	1.0
50531	2.0
60331	5.0
60531	5.0
60731	5.0
60831	5.0
60931	1.0
61131	5.0
61231	5.0
61531	5.0
61631	1.0
61731	5.0
61831	5.0
number of leaf nodes: 38	avg_prnt_size: 3.71052631579	stdev: 1.55441467638

2016-08-21 03:39:09 Round: 31
nodeid	prnt_size
10011	1.0
10401	2.0
10911	2.0
20031	3.0
20151	5.0
20541	5.0
20641	5.0
20711	2.0
20841	2.0
20851	3.0
20941	5.0
21141	5.0
21831	5.0
21931	5.0
22031	4.0
22131	5.0
22231	5.0
22631	2.0
22931	5.0
23031	4.0
23131	5.0
23241	4.0
30251	3.0
30551	1.0
30851	1.0
31051	5.0
40331	4.0
50031	2.0
50331	1.0
50431	5.0
60331	5.0
62031	2.0
62131	3.0
number of leaf nodes: 33	avg_prnt_size: 3.51515151515	stdev: 1.49992347524

2016-08-21 05:39:54 Round: 32
nodeid	prnt_size
10011	1.0
10911	2.0
11801	5.0
20031	4.0
20151	5.0
20841	3.0
20851	3.0
21031	5.0
21141	1.0
21341	5.0
21831	5.0
21931	5.0
22031	4.0
22131	5.0
22231	5.0
22331	5.0
22431	5.0
22531	5.0
22631	2.0
22731	1.0
22831	5.0
22931	5.0
23131	5.0
30251	2.0
30751	1.0
31051	1.0
31131	5.0
40231	4.0
40331	4.0
50031	2.0
50531	2.0
60201	5.0
60331	1.0
60531	5.0
60731	5.0
60831	5.0
60931	1.0
61131	5.0
61331	1.0
61731	5.0
61931	5.0
62031	3.0
62131	4.0
number of leaf nodes: 43	avg_prnt_size: 3.6511627907	stdev: 1.61221674534

2016-08-21 07:41:08 Round: 33
nodeid	prnt_size
10011	1.0
10911	1.0
11101	4.0
11301	5.0
20031	4.0
20251	5.0
20541	5.0
20711	2.0
20851	2.0
20941	5.0
21031	4.0
21141	1.0
21831	5.0
21931	5.0
22031	3.0
22231	5.0
22331	4.0
22531	5.0
22631	2.0
22831	4.0
23031	3.0
23131	5.0
23241	3.0
30251	3.0
30551	4.0
30751	1.0
31051	2.0
40331	4.0
50031	3.0
50331	1.0
50531	2.0
60331	4.0
60831	4.0
60931	3.0
61131	3.0
61231	3.0
61331	5.0
61531	5.0
61631	4.0
61731	5.0
61831	4.0
62131	2.0
62231	1.0
number of leaf nodes: 43	avg_prnt_size: 3.39534883721	stdev: 1.38328114958

2016-08-21 09:41:50 Round: 34
nodeid	prnt_size
10011	1.0
10601	5.0
10911	4.0
11001	2.0
11801	3.0
20151	5.0
20251	5.0
20301	4.0
20541	5.0
20711	2.0
20841	2.0
20851	2.0
20941	5.0
21031	4.0
21341	5.0
21831	5.0
21931	5.0
22531	4.0
22631	1.0
22931	5.0
23131	5.0
23241	3.0
30251	1.0
30451	1.0
30751	2.0
31051	1.0
31131	5.0
31301	3.0
40231	2.0
40331	2.0
50131	5.0
50331	1.0
60201	5.0
60331	5.0
60631	5.0
60731	4.0
60831	4.0
60931	4.0
61131	3.0
61231	1.0
61531	5.0
61631	4.0
61731	4.0
61831	3.0
62031	1.0
62231	1.0
number of leaf nodes: 46	avg_prnt_size: 3.34782608696	stdev: 1.54943736358

2016-08-21 11:43:42 Round: 35
nodeid	prnt_size
10011	1.0
10401	2.0
10911	1.0
11801	3.0
20151	5.0
20251	5.0
20301	5.0
20711	3.0
20841	2.0
20851	2.0
